朝市,アサイチ
編み物,アミモノ
雨,アメ
あめ,アメ
雨降り,アメフリ
アメリカ,アメリカ
アメリカ合衆国,アメリカガッシュウコク
アメリカン,アメリカン
過ち,アヤマチ
誤り,アヤマリ
あゆ,アユ
阿諛,アユ
歩み,アユミ
アラーム,アラーム
洗い,アライ
洗い場,アライバ
洗い物,アライモノ
嵐,アラシ
粗筋,アラスジ
争い,アラソイ
改め,アラタメ
荒波,アラナミ
粗びき,アラビキ
アラブ,アラブ
あり,アリ
有り,アリ
在り来り,アリキタリ
有様,アリサマ
アリバイ,アリバイ
アルカリ,アルカリ
アルカリ性,アルカリセイ
アルコール,アルコール
アルゼンチン,アルゼンチン
アルバイト,アルバイト
アルバム,アルバム
アルファベット,アルファベット
アルプス,アルプス
アルミ,アルミ
アルミニウム,アルミニウム
アルミ箔,アルミハク
アルミホイル,アルミホイル
あれ,アレ
あれ,アレ
あれこれ,アレコレ
荒れ地,アレチ
アレルギー,アレルギー
アレンジ,アレンジ
アロエ,アロエ
アロハ,アロハ
泡,アワ
合わせ,アワセ
哀れ,アワレ
哀れみ,アワレミ
案,アン
アンカー,アンカー
あんかけ,アンカケ
暗記,アンキ
行脚,アンギャ
アングル,アングル
アンケート,アンケート
あんこ,アンコ
暗号,アンゴウ
アンコール,アンコール
暗黒,アンコク
暗殺,アンサツ
安産,アンザン
アンサンブル,アンサンブル
暗示,アンジ
暗証,アンショウ
暗証番号,アンショウバンゴウ
安心,アンシン
安静,アンセイ
安全,アンゼン
安全性,アンゼンセイ
安全保障,アンゼンホショウ
安全保障条約,アンゼンホショウジョウヤク
安打,アンダ
アンダー,アンダー
アンダーライン,アンダーライン
安泰,アンタイ
安置,アンチ
安定,アンテイ
アンティーク,アンティーク
アンテナ,アンテナ
案内,アンナイ
案内書,アンナイショ
案内状,アンナイジョウ
アンバランス,アンバランス
安否,アンピ
アンプ,アンプ
アンペア,アンペア
安眠,アンミン
暗黙,アンモク
アンモニア,アンモニア
胃,イ
意,イ
威圧,イアツ
慰安,イアン
言い合い,イイアイ
イージー,イージー
イースター,イースター
言い伝え,イイツタエ
言い分,イイブン
言い回し,イイマワシ
言い訳,イイワケ
委員,イイン
医院,イイン
委員会,イインカイ
家,イエ
家々,イエイエ
家柄,イエガラ
家路,イエジ
家出,イエデ
家元,イエモト
イエロー,イエロー
硫黄,イオウ
いか,イカ
以下,イカ
医科,イカ
以外,イガイ
威嚇,イカク
医学,イガク
医学書,イガクショ
医科大学,イカダイガク
胃カメラ,イカメラ
怒り,イカリ
いかり,イカリ
いかん,イカン
遺憾,イカン
行き,イキ
息,イキ
生き,イキ
域,イキ
意気,イキ
遺棄,イキ
粋,イキ
意義,イギ
異議,イギ
行き当たり,イキアタリ
生き埋め,イキウメ
勢い,イキオイ
生きがい,イキガイ
行き来,イキキ
意気込み,イキコミ
行き先,イキサキ
経緯,イキサツ
行き詰まり,イキヅマリ
憤り,イキドオリ
息抜き,イキヌキ
生き残り,イキノコリ
生き物,イキモノ
イギリス,イギリス
幾,イク
戦,イクサ
育児,イクジ
育成,イクセイ
幾多,イクタ
幾つ,イクツ
幾分,イクブン
幾ら,イクラ
幾ら,イクラ
幾ら,イクラ
イクラ,イクラ
幾らか,イクラカ
池,イケ
生け花,イケバナ
意見,イケン
以後,イゴ
囲碁,イゴ
憩い,イコイ
移行,イコウ
意向,イコウ
イコール,イコール
異国,イコク
居心地,イゴコチ
遺骨,イコツ
居酒屋,イザカヤ
遺作,イサク
いざこざ,イザコザ
遺産,イサン
遺産相続,イサンソウゾク
石,イシ
医師,イシ
意志,イシ
意思,イシ
維持,イジ
意地,イジ
石垣,イシガキ
意識,イシキ
石ころ,イシコロ
石段,イシダン
意思表示,イシヒョウジ
いじめ,イジメ
いじめっこ,イジメッコ
医者,イシャ
慰謝料,イシャリョウ
異臭,イシュウ
移住,イジュウ
萎縮,イシュク
遺書,イショ
衣装,イショウ
異常,イジョウ
移植,イショク
異色,イショク
衣食,イショク
衣食住,イショクジュウ
意地悪,イジワル
意地悪,イジワル
意地悪い,イジワルイ
異人,イジン
偉人,イジン
いす,イス
伊豆,イズ
泉,イズミ
イスラム,イスラム
イスラム教,イスラムキョウ
いずれ,イズレ
いずれ,イズレ
どれ,イズレ
異性,イセイ
遺跡,イセキ
移籍,イセキ
いそ,イソ
急ぎ,イソギ
急ぎ足,イソギアシ
遺族,イゾク
依存,イゾン
板,イタ
遺体,イタイ
委託,イタク
いたずら,イタズラ
頂,イタダキ
いただき物,イタダキモノ
板チョコ,イタチョコ
痛手,イタデ
板の間,イタノマ
板前,イタマエ
痛み,イタミ
傷み,イタミ
痛み止め,イタミドメ
至り,イタリ
イタリア,イタリア
至る所,イタルトコロ
一,イチ
位置,イチ
一々,イチイチ
一員,イチイン
一因,イチイン
一月,イチガツ
一眼レフ,イチガンレフ
一昨日,イチキノウ
一行,イチギョウ
一行,イチギョウ
一軍/１軍,イチグン
一撃,イチゲキ
一見,イチゲン
いちご,イチゴ
一期一会,イチゴイチエ
一個人,イチコジン
一戸建て,イチコダテ
一時,イチジ
一時期,イチジキ
一時に,イチジニ
一時に,イチジニ
一種,イチシュ
一生,イチセイ
一族,イチゾク
一体,イチタイ
一段落,イチダンラク
一つ,イチツ
一度,イチド
一同,イチドウ
一読,イチドク
一日,イチニチ
一人一人,イチニンヒトリ
一人前,イチニンマエ
一人前,イチニンマエ
一年,イチネン
一杯,イチハイ
一倍,イチバイ
一番,イチバン
一番,イチバン
一番乗り,イチバンノリ
一部,イチブ
一部,イチブ
一部分,イチブブン
一文,イチブン
一望,イチボウ
一枚,イチマイ
一回り,イチマワリ
一味,イチミ
一昔,イチムカシ
一名,イチメイ
一命,イチメイ
一面,イチメン
一面,イチメン
一目,イチモク
一目散,イチモクサン
一目瞭然,イチモクリョウゼン
一夜,イチヤ
いちゃもん,イチャモン
胃腸,イチョウ
いちょう,イチョウ
医長,イチョウ
一覧,イチラン
一律,イチリツ
一流,イチリュウ
一塁,イチルイ
一塁,イチルイ
一例,イチレイ
一礼,イチレイ
一列,イチレツ
一連,イチレン
一連,イチレン
いつ,イツ
胃痛,イツウ
一家,イッカ
五日,イツカ
一角,イッカク
一獲千金,イッカクセンキン
一括,イッカツ
一貫,イッカン
一環,イッカン
一気,イッキ
一見,イッケン
一見,イッケン
一行,イッコウ
一刻,イッコク
一切,イッサイ
一昨日,イッサクジツ
一昨年,イッサクネン
一式,イッシキ
一室,イッシツ
一種,イッシュ
一瞬,イッシュン
一緒,イッショ
一生,イッショウ
一生懸命,イッショウケンメイ
一心,イッシン
一睡,イッスイ
一寸,イッスン
一斉,イッセイ
一石二鳥,イッセキニチョウ
一説,イッセツ
一線,イッセン
一体,イッタイ
一体,イッタイ
一帯,イッタイ
一端,イッタン
一致,イッチ
一丁,イッチョウ
五つ,イツツ
一手,イッテ
一定,イッテイ
一時,イットキ
一杯,イッパイ
一杯,イッパイ
一杯一杯,イッパイイッパイ
一般,イッパン
一般に,イッパンニ
一般論,イッパンロン
一夫多妻,イップタサイ
一変,イッペン
一遍,イッペン
一方,イッポウ
一方,イッポウ
一報,イッポウ
一方通行,イッポウツウコウ
一本,イッポン
イデオロギー,イデオロギー
移転,イテン
遺伝,イデン
遺伝子,イデンシ
糸,イト
意図,イト
井戸,イド
緯度,イド
移動,イドウ
異動,イドウ
糸口,イトグチ
いとこ,イトコ
営み,イトナミ
いとま,イトマ
田舎,イナカ
田舎者,イナカモノ
稲作,イナサク
稲妻,イナズマ
いなり,イナリ
いにしえ,イニシエ
イニシャル,イニシャル
委任,イニン
委任状,イニンジョウ
犬,イヌ
稲,イネ
居眠り,イネムリ
猪,イノシシ
命,イノチ
命懸け,イノチガケ
祈り,イノリ
違反,イハン
いびき,イビキ
イブ,イブ
衣服,イフク
胃袋,イブクロ
異物,イブツ
異変,イヘン
イベント,イベント
いぼ,イボ
異母,イボ
違法,イホウ
異邦人,イホウジン
今,イマ
居間,イマ
今頃,イマゴロ
イマジネーション,イマジネーション
今時,イマドキ
今風,イマフウ
今まで,イママデ
意味,イミ
意味合い,イミアイ
移民,イミン
イメージ,イメージ
芋,イモ
妹,イモウト
嫌がらせ,イヤガラセ
医薬,イヤク
医薬品,イヤクヒン
嫌気,イヤケ
癒し,イヤシ
イヤホン,イヤホン
イヤリング,イヤリング
意欲,イヨク
意欲的,イヨクテキ
依頼,イライ
いらいら,イライラ
イラク,イラク
イラスト,イラスト
イラストレーター,イラストレーター
イラン,イラン
入り,イリ
入り口,イリグチ
医療,イリョウ
衣料,イリョウ
威力,イリョク
衣類,イルイ
いるか,イルカ
イルミネーション,イルミネーション
異例,イレイ
入れ替え,イレカエ
入れ替わり,イレカワリ
入れ歯,イレバ
入れ物,イレモノ
色,イロ
色合い,イロアイ
色落ち,イロオチ
色紙,イロガミ
色柄,イロガラ
色気,イロケ
色濃い,イロコイ
彩り,イロドリ
色直し,イロナオシ
いろは,イロハ
色眼鏡,イロメガネ
色物,イロモノ
いろり,イロリ
色分け,イロワケ
異論,イロン
岩,イワ
祝い,イワイ
祝い事,イワイゴト
違和感,イワカン
いわく,イワク
いわし,イワシ
岩肌,イワハダ
いわれ,イワレ
印,イン
院,イン
因果,インガ
因果関係,インガカンケイ
印鑑,インカン
印鑑証明,インカンショウメイ
インク,インク
イングリッシュ,イングリッシュ
インサイド,インサイド
印刷,インサツ
印紙,インシ
印字,インジ
飲酒,インシュ
飲酒運転,インシュウンテン
印象,インショウ
印象的,インショウテキ
飲食,インショク
飲食店,インショクテン
インスタント,インスタント
インスタント食品,インスタントショクヒン
インストラクター,インストラクター
印税,インゼイ
引率,インソツ
インターナショナル,インターナショナル
インターネット,インターネット
インターホン,インターホン
引退,インタイ
インタビュー,インタビュー
いんちき,インチキ
院長,インチョウ
インディアン,インディアン
インデックス,インデックス
インテリ,インテリ
インテリア,インテリア
インド,インド
インドネシア,インドネシア
インド洋,インドヨウ
イントロ,イントロ
インナー,インナー
因縁,インネン
インパクト,インパクト
インフォメーション,インフォメーション
インプット,インプット
インフルエンザ,インフルエンザ
インフレ,インフレ
陰謀,インボウ
陰毛,インモウ
引用,インヨウ
飲料水,インリョウスイ
引力,インリョク
ウ,ウ
ウイークエンド,ウイークエンド
ウイークリー,ウイークリー
ウイスキー,ウイスキー
ウイニング,ウイニング
ウイルス,ウイルス
ういろう,ウイロウ
ウインカー,ウインカー
ウインク,ウインク
ウイング,ウイング
ウインド,ウインド
ウインドー,ウインドー
ウインドーショッピング,ウインドーショッピング
ウーマン,ウーマン
ウール,ウール
ウーロン茶,ウーロンチャ
上,ウエ
ウエーター,ウエーター
ウエート,ウエート
ウエートレス,ウエートレス
ウエーブ,ウエーブ
植木,ウエキ
ウエスタン,ウエスタン
ウエディング,ウエディング
ウエディングドレス,ウエディングドレス
上野,ウエノ
ウェブ,ウェブ
右往左往,ウオウサオウ
ウォーキング,ウォーキング
ウォーター,ウォーター
ウォッカ,ウォッカ
ウォッチ,ウォッチ
ウォッチング,ウォッチング
魚釣り,ウオツリ
う回,ウカイ
雨期,ウキ
浮き,ウキ
浮き彫り,ウキボリ
受け,ウケ
受け入れ,ウケイレ
受け口,ウケグチ
受け皿,ウケザラ
受け付け,ウケツケ
受け取り,ウケトリ
受け身,ウケミ
受け渡し,ウケワタシ
動き,ウゴキ
うさぎ,ウサギ
牛,ウシ
後ろ,ウシロ
後ろ足,ウシロアシ
後ろ姿,ウシロスガタ
後ろ盾,ウシロダテ
後ろ向き,ウシロムキ
渦,ウズ
薄味,ウスアジ
薄皮,ウスカワ
薄着,ウスギ
薄切り,ウスギリ
薄口,ウスクチ
渦巻き,ウズマキ
薄焼き,ウスヤキ
うずら,ウズラ
右折,ウセツ
うそ,ウソ
うそつき,ウソツキ
歌,ウタ
疑い,ウタガイ
歌声,ウタゴエ
歌姫,ウタヒメ
内,ウチ
打ち,ウチ
打ち合わせ,ウチアワセ
内側,ウチガワ
内気,ウチキ
打ち切り,ウチキリ
打ち消し,ウチケシ
内股,ウチマタ
宇宙,ウチュウ
宇宙空間,ウチュウクウカン
宇宙人,ウチュウジン
宇宙船,ウチュウセン
宇宙飛行士,ウチュウヒコウシ
宇宙服,ウチュウフク
有頂天,ウチョウテン
うちわ,ウチワ
内輪,ウチワ
内訳,ウチワケ
写し,ウツシ
訴え,ウッタエ
うっぷん,ウップン
移り変わり,ウツリカワリ
器,ウツワ
腕,ウデ
腕立て伏せ,ウデタテフセ
腕時計,ウデドケイ
腕前,ウデマエ
雨天,ウテン
うどん,ウドン
うなぎ,ウナギ
乳母,ウバ
産声,ウブゴエ
馬,ウマ
甘み,ウマミ
生まれ,ウマレ
海,ウミ
海辺,ウミベ
有無,ウム
梅,ウメ
梅酒,ウメシュ
埋め立て,ウメタテ
梅干し,ウメボシ
羽毛,ウモウ
右翼,ウヨク
右翼団体,ウヨクダンタイ
裏,ウラ
裏表,ウラオモテ
裏方,ウラカタ
裏側,ウラガワ
裏切り,ウラギリ
裏口,ウラグチ
裏地,ウラジ
裏通り,ウラドオリ
占い,ウラナイ
裏話,ウラバナシ
恨み,ウラミ
裏道,ウラミチ
裏山,ウラヤマ
売り,ウリ
瓜,ウリ
売り上げ,ウリアゲ
売り切れ,ウリキレ
売り込み,ウリコミ
売り出し,ウリダシ
売り手,ウリテ
売り主,ウリヌシ
売り場,ウリバ
売り物,ウリモノ
潤い,ウルオイ
憂い,ウレイ
売れっ子,ウレッコ
売れ残り,ウレノコリ
売れ行き,ウレユキ
浮気,ウワキ
上着,ウワギ
上唇,ウワクチビル
うわさ,ウワサ
うわさばなし,ウワサバナシ
上乗せ,ウワノセ
うわのそら,ウワノソラ
上履き,ウワバキ
上役,ウワヤク
運,ウン
運営,ウンエイ
運河,ウンガ
運休,ウンキュウ
うんこ,ウンコ
運行,ウンコウ
運航,ウンコウ
運勢,ウンセイ
運送,ウンソウ
うんち,ウンチ
運賃,ウンチン
運転,ウンテン
運転士,ウンテンシ
運転手,ウンテンシュ
運転免許証,ウンテンメンキョショウ
運動,ウンドウ
運動会,ウンドウカイ
運動場,ウンドウジョウ
運動神経,ウンドウシンケイ
うんぬん,ウンヌン
運搬,ウンパン
運命,ウンメイ
運命的,ウンメイテキ
運輸,ウンユ
運輸省,ウンユショウ
運用,ウンヨウ
絵,エ
エアコン,エアコン
エアライン,エアライン
エアロビクス,エアロビクス
永遠,エイエン
映画,エイガ
映画化,エイガカ
映画館,エイガカン
映画監督,エイガカントク
永久,エイキュウ
影響,エイキョウ
営業,エイギョウ
影響力,エイキョウリョク
英語,エイゴ
栄光,エイコウ
英国,エイコク
英字,エイジ
永住,エイジュウ
ＡＩＤＳ,エイズ
衛星,エイセイ
衛生,エイセイ
映像,エイゾウ
永続,エイゾク
英文,エイブン
英文学,エイブンガク
英訳,エイヤク
英雄,エイユウ
栄養,エイヨウ
栄養価,エイヨウカ
栄養素,エイヨウソ
栄養分,エイヨウブン
営利,エイリ
英和,エイワ
ＡＭ,エーエム
Ａ型,エーガタ
エース,エース
ＡＤ,エーディー
笑顔,エガオ
絵柄,エガラ
駅,エキ
易,エキ
駅員,エキイン
エキサイト,エキサイト
駅舎,エキシャ
液晶,エキショウ
液状,エキジョウ
エキス,エキス
エキストラ,エキストラ
エキスパート,エキスパート
液体,エキタイ
駅伝,エキデン
駅弁,エキベン
駅前,エキマエ
えくぼ,エクボ
エゴ,エゴ
エコー,エコー
エコノミー,エコノミー
エコノミークラス,エコノミークラス
えさ,エサ
エジプト,エジプト
会釈,エシャク
ＳＦ,エスエフ
ＳＬ,エスエル
ＳＯＳ,エスオーエス
エスカレーター,エスカレータ
エスカレーター,エスカレーター
エスカレート,エスカレート
エスケープ,エスケープ
Ｓサイズ,エスサイズ
エステ,エステ
エスニック,エスニック
ＳＰ,エスピー
枝,エダ
枝毛,エダゲ
枝分かれ,エダワカレ
エチケット,エチケット
エッグ,エッグ
Ｘ線,エックスセン
え付け,エヅケ
エッジ,エッジ
エッセイスト,エッセイスト
エッセー,エッセー
エッセンス,エッセンス
閲覧,エツラン
干支,エト
江戸,エド
エトセトラ,エトセトラ
江戸っ子,エドッコ
エナメル,エナメル
ＮＧ,エヌジー
エネルギー,エネルギー
絵の具,エノグ
絵葉書,エハガキ
えび,エビ
エピソード,エピソード
ＦＭ,エフエム
ＦＭ放送,エフエムホウソウ
エプロン,エプロン
絵本,エホン
絵馬,エマ
絵巻,エマキ
笑み,エミ
Ｍサイズ,エムサイズ
ＭＶＰ,エムブイピー
エメラルド,エメラルド
絵文字,エモジ
獲物,エモノ
えら,エラ
エラー,エラー
襟,エリ
エリア,エリア
襟足,エリアシ
エリート,エリート
襟元,エリモト
ＬＬ,エルエル
Ｌサイズ,エルサイズ
ＬＰ,エルピー
エレキ,エレキ
エレキギター,エレキギター
エレクトーン,エレクトーン
エレクトロニクス,エレクトロニクス
エレベーター,エレベータ
エレベーター,エレベーター
エロ,エロ
円,エン
円,エン
宴,エン
縁,エン
煙,エン
炎,エン
遠泳,エンエイ
演歌,エンカ
宴会,エンカイ
遠隔,エンカク
遠隔操作,エンカクソウサ
縁側,エンガワ
沿岸,エンガン
延期,エンキ
演技,エンギ
縁起,エンギ
遠距離,エンキョリ
円グラフ,エングラフ
円形,エンケイ
園芸,エンゲイ
演芸,エンゲイ
エンゲージ,エンゲージ
演劇,エンゲキ
縁故,エンコ
塩酸,エンサン
演算,エンザン
園児,エンジ
エンジェル,エンジェル
エンジニア,エンジニア
演習,エンシュウ
演出,エンシュツ
援助,エンジョ
エンジョイ,エンジョイ
炎症,エンショウ
エンジン,エンジン
塩水,エンスイ
エンスト,エンスト
遠征,エンセイ
演説,エンゼツ
沿線,エンセン
塩素,エンソ
演奏,エンソウ
遠足,エンソク
エンターテインメント,エンターテインメント
延滞,エンタイ
円高,エンダカ
園長,エンチョウ
延長,エンチョウ
エンディング,エンディング
炎天,エンテン
エンド,エンド
煙突,エントツ
エントリー,エントリー
縁日,エンニチ
円盤,エンバン
鉛筆,エンピツ
塩分,エンブン
遠方,エンポウ
延命,エンメイ
遠慮,エンリョ
尾,オ
オアシス,オアシス
おい,オイ
おい,オイ
老い,オイ
追い越し,オイコシ
生い立ち,オイタチ
おいっ子,オイッコ
置いてけぼり,オイテケボリ
オイル,オイル
王,オウ
欧,オウ
押印,オウイン
応援,オウエン
応急,オウキュウ
王家,オウケ
王国,オウコク
黄金,オウゴン
黄金時代,オウゴンジダイ
王座,オウザ
王様,オウサマ
王子,オウジ
王室,オウシツ
王者,オウジャ
押収,オウシュウ
王女,オウジョ
黄色,オウショク
王政,オウセイ
応接,オウセツ
応接室,オウセツシツ
王族,オウゾク
応対,オウタイ
横断,オウダン
横断歩道,オウダンホドウ
横着,オウチャク
王朝,オウチョウ
横転,オウテン
応答,オウトウ
王道,オウドウ
凹凸,オウトツ
往年,オウネン
欧風,オウフウ
往復,オウフク
欧米,オウベイ
応募,オウボ
応用,オウヨウ
往来,オウライ
横領,オウリョウ
往路,オウロ
大当たり,オオアタリ
大雨,オオアメ
大急ぎ,オオイソギ
ＯＬ,オーエル
大奥,オオオク
大方,オオカタ
大方,オオカタ
大型,オオガタ
Ｏ型,オーガタ
おおかみ,オオカミ
おおかみ少年,オオカミショウネン
多く,オオク
大食い,オオグイ
オークション,オークション
大口,オオグチ
大蔵省,オオクラショウ
オーケストラ,オーケストラ
大声,オオゴエ
大阪,オオサカ
大騒ぎ,オオサワギ
オーシャン,オーシャン
オーストラリア,オーストラリア
オーストリア,オーストリア
大勢,オオゼイ
大関,オオゼキ
オーダー,オーダー
大台,オオダイ
大粒,オオツブ
大手,オオテ
オーディオ,オーディオ
オーディション,オーディション
大通り,オオドオリ
オートバイ,オートバイ
オードブル,オードブル
オートメーション,オートメーション
オーナー,オーナー
オーバーオール,オーバーオール
オーバーコート,オーバーコート
オーバーヒート,オーバーヒート
オーバーラン,オーバーラン
オーバーワーク,オーバーワーク
大判,オオバン
ＯＢ,オービー
オープニング,オープニング
オーブン,オーブン
オープン,オープン
オープンカー,オープンカー
オープン戦,オープンセン
大みそか,オオミソカ
大昔,オオムカシ
多め,オオメ
大目,オオメ
大もうけ,オオモウケ
大物,オオモノ
大家,オオヤ
公,オオヤケ
大雪,オオユキ
おおよそ,オオヨソ
オーラ,オーラ
オールド,オールド
オールマイティー,オールマイティー
オーロラ,オーロラ
大笑い,オオワライ
丘,オカ
おかか,オカカ
おかげ,オカゲ
おかず,オカズ
お金,オカネ
おかみ,オカミ
おかみさん,オカミサン
おかゆ,オカユ
おから,オカラ
小川,オガワ
起き,オキ
沖,オキ
置き去り,オキザリ
おきて,オキテ
置き場,オキバ
お客さん,オキャクサン
奥,オク
億,オク
屋外,オクガイ
奥様,オクサマ
奥さん,オクサン
屋上,オクジョウ
憶測,オクソク
オクターブ,オクターブ
奥地,オクチ
屋内,オクナイ
奥歯,オクバ
臆病,オクビョウ
奥行き,オクユキ
オクラ,オクラ
送り,オクリ
送り主,オクリヌシ
送り迎え,オクリムカエ
贈り物,オクリモノ
遅れ,オクレ
おけ,オケ
起こし,オコシ
行い,オコナイ
お好み焼き,オコノミヤキ
起こり,オコリ
押さえ,オサエ
お先,オサキ
お酒,オサケ
納め,オサメ
押し,オシ
伯父,オジ
おじいさん,オジイサン
おじいちゃん,オジイチャン
押し入れ,オシイレ
押し売り,オシウリ
教え,オシエ
教え子,オシエゴ
おじぎ,オジギ
伯父さん,オジサン
おしっこ,オシッコ
おしまい,オシマイ
おじや,オジヤ
おしゃべり,オシャベリ
おしゃれ,オシャレ
汚職,オショク
雄,オス
オセアニア,オセアニア
お歳暮,オセイボ
お世辞,オセジ
お節,オセチ
お節介,オセッカイ
お世話,オセワ
汚染,オセン
お供え物,オソナエモノ
恐れ,オソレ
オゾン,オゾン
落ち,オチ
落ち着き,オチツキ
落ち度,オチド
落ち葉,オチバ
落ち目,オチメ
夫,オット
おっぱい,オッパイ
おつまみ,オツマミ
お手上げ,オテアゲ
お手洗い,オテアライ
おでこ,オデコ
お手前,オテマエ
汚点,オテン
おでん,オデン
音,オト
お父さん,オトウサン
弟,オトウト
男,オトコ
男泣き,オトコナキ
男の子,オトコノコ
男の人,オトコノヒト
男前,オトコマエ
男役,オトコヤク
落とし,オトシ
脅し,オドシ
落とし物,オトシモノ
訪れ,オトズレ
おととい,オトトイ
おととし,オトトシ
大人,オトナ
乙女,オトメ
おとり,オトリ
踊り,オドリ
踊り子,オドリコ
衰え,オトロエ
驚き,オドロキ
同い年,オナイドシ
おなか,オナカ
おなご,オナゴ
おなじみ,オナジミ
おなら,オナラ
鬼,オニ
お兄さん,オニイサン
オニオン,オニオン
お握り,オニギリ
鬼ごっこ,オニゴッコ
お姉さん,オネエサン
おねがい,オネガイ
おねしょ,オネショ
斧,オノ
各々,オノオノ
伯母,オバ
おばあさん,オバアサン
おばあちゃん,オバアチャン
伯母さん,オバサン
御話,オハナシ
帯,オビ
オファー,オファー
オフィス,オフィス
おふくろ,オフクロ
オフサイド,オフサイド
オプション,オプション
汚物,オブツ
おべっか,オベッカ
オペラ,オペラ
オペラハウス,オペラハウス
オペレーション,オペレーション
オペレーター,オペレーター
覚え,オボエ
お参り,オマイリ
おまけ,オマケ
おまる,オマル
御御,オミ
おみくじ,オミクジ
お土産,オミヤゲ
おむつ,オムツ
オムニバス,オムニバス
オムライス,オムライス
オムレツ,オムレツ
思い,オモイ
思い入れ,オモイイレ
思い思い,オモイオモイ
思い切り,オモイキリ
思い切り,オモイキリ
思い込み,オモイコミ
思い違い,オモイチガイ
思い付き,オモイツキ
思い出,オモイデ
面影,オモカゲ
重し,オモシ
面白み,オモシロミ
おもちゃ,オモチャ
表,オモテ
表向き,オモテムキ
面長,オモナガ
重み,オモミ
趣,オモムキ
母屋,オモヤ
思惑,オモワク
親,オヤ
親方,オヤカタ
親子,オヤコ
親孝行,オヤコウコウ
親心,オヤゴコロ
親子どんぶり,オヤコドンブリ
おやじ,オヤジ
お休み,オヤスミ
おやつ,オヤツ
親不孝,オヤフコウ
親指,オヤユビ
泳ぎ,オヨギ
およそ,オヨソ
オランウータン,オランウータン
オランダ,オランダ
オランダ語,オランダゴ
折,オリ
おり,オリ
折り合い,オリアイ
オリーブ,オリーブ
オリエンタル,オリエンタル
折々,オリオリ
折り返し,オリカエシ
折り紙,オリガミ
折から,オリカラ
折り込み,オリコミ
オリジナリティー,オリジナリティー
オリジナル,オリジナル
折しも,オリシモ
折りづる,オリヅル
折り目,オリメ
織物,オリモノ
オリンピック,オリンピック
オリンピック競技,オリンピックキョウギ
オルガン,オルガン
オルゴール,オルゴール
お礼,オレイ
折れ線,オレセン
オレンジ,オレンジ
愚か者,オロカモノ
卸,オロシ
卸売り,オロシウリ
おわび,オワビ
終わり,オワリ
おわん,オワン
音,オン
恩,オン
オン,オン
音域,オンイキ
